Pre-Utterance Context,Student Utterance,Post-Utterance Context,Offering mathematical help,Successful Uptake,Asking for More Information
"[student] Okay.
[teacher] Seven rows of eight.
[student] If you guys use the blue color that’s fine.
[teacher] That’s okay, just turn the paper.  Seven rows of eight.","That’s like another cube, right?  Wouldn’t it be like another cube?","[teacher] Is it gonna be a square?
[student] No.
[teacher] Why?
[student] Because one side is only seven and the other side is eight.",0,0,1
"[student] I said - [crosstalk].
[teacher] If you take one-fourth and you cut it in half, what do you get?
[multiple students] [Multiple answers].
[teacher] Huh?  What?",Because if you [inaudible] if you have four pieces [inaudible] then you have -,"[teacher] Okay, so if we cut one-eighth in half what do you get?
[student] One-sixteenth?
[teacher] Huh?
[student] [Inaudible].  [Speaker announcement].",0,1,0
"[student] [Inaudible].
[teacher] Yep, always, always, always subtract the highest minus the lowest.  So you know when you put them in order you’re just going to do the last one minus the first one, always for range.  That’s why it’s helpful to put them in order.  Yes, Student.
[student] I have a question for the mode.
[teacher] Mm-hmm.","Our table, we did that class project with the scales yesterday. Me and Student B, I think it was Student B, me and Student B, we got the same number like 7, 7, 8, 8 and one 5.  What happens, like, in a sense what happens the most?","[teacher] Okay.  That’s a very good question.  You can have more than one mode.
[student] You can?
[teacher] Yep.  If this had been 803, 803, 847, 847 and then the rest of them, your mode would have been 847 and 803 because they both happen two times.
[student] But what about if all the numbers are the same?",0,0,1
"[student] [Inaudible].
[teacher] He’s going to show his tomorrow.  [Beeping].
[student] This is my cover, and my table of contents.  My point line. Line segment.  [Inaudible].  My plane.  Acute angle.  My obtuse angle.  And right angle.  My quadrilaterals.  Three figures with symmetry.  And two figures without symmetry. The circles [inaudible] diameter, and radius, and circumference.  [Inaudible].  [Inaudible].
[teacher] All right.  Excellent.  Excellent.  If you’ll pass the microphone.  Okay.","This is my table of contents.  This is my point line, line segment, ray and plane.  This is an acute angle, a right angle, and obtuse angle.  Square, rectangle, and rhombus. Parallelogram.  Trapezoid.  Symmetrical figures.  These are non-symmetrical figures.  This is the radius.  Diameter. Core.  Circumference.  This is a flip, slide, and turn. And this is my glossary.","[teacher] Excellent.  [Applause].
[student] This is my geometry [inaudible].  These are my [inaudible]. This is my quadrilateral.  My symmetry.  This is ones that like, can’t come together.  [Inaudible].  This is my circumference.  This is my rotation.  This is my [inaudible] and [inaudible].  And this is my glossary. [Applause].
[teacher] [Inaudible], we’re just trying to get a [inaudible], okay?
[student] [Inaudible].",0,0,0
"[student] Area equals length times width.  Area equals 54 times 98, do you want me to work out the problem or just tell the answer?
[teacher] Let’s see if everyone agrees with you.
[student] I got 5,282 square feet .
[teacher] Thumbs up or thumbs down?  Okay, I need to see more thumbs up or down.  Okay, let’s work it out, we don’t have [Inaudible].","8 times 4 is 32.  And 9 times 4 is 36 plus 3 which is 39.  And then you added here at the bottom.  5 times [Inaudible] and 5 times 9 is 45, plus 4, which is 49.  And you add them together and [Inaudible].","[teacher] Okay, and Student J, if you would back away so they could see the answer.
[student] They missed it by 10.
[teacher] Okay.  And we need to move your square symbol right here, your square symbol.  Okay, last question, Student M?
[student] 24, name the figure.  Student A?",1,0,0
"[student] Better.
[teacher] [Inaudible].
[student] Teacher?
[teacher] Mm-hmm.",Is that may a little bit of help?,"[teacher] You got me then.  Just a second.  What's the problem that you're having?
[student] [Inaudible] minus [2 out of 15 minus 18 is 3.  18 out of 8] wearing blue hats.
[teacher] I see where you're going.  So you were gonna say there are 18 total wearing blue hats.  There are seven children wearing green.  There are 18 kids in all.  How many are not –
[student] Wearing hats.",0,0,1
"[student] Because when I was counting, I think I [inaudible] to count, I added – when I counted it came up as six, but I think I messed up.
[teacher] You’re trying to figure out the area?  You’ve already done the area, haven’t you?
[student] I’m trying to figure out what – no I haven’t done the area, yet.  I did the outsides.  That.  And then the outside -
[teacher] You already did B.  B was area.",How do I find out the answer for -,"[teacher] For C?
[student] Yeah.
[teacher] You need to come up with a garden that will have 96 boxes inside.
[student] I’m done.",0,0,1
"[student] We're just about finished.
[teacher] Just about finished.  Good.
[student] Should we glue the picture down?
[teacher] No, you're not gonna glue it down.",[Inaudible] I was gonna glue it to the bottom.,"[teacher] I'm gonna put them up with them, but we're not gonna glue it to the paper.
[student] Do you want us to read it over?
[teacher] Read over it and make sure that you –
[student] I only read this one.  Two out of three.",0,0,0
"[teacher] Five and what would be the denominator?  It’s five out of?
[student] Oh, eight.
[teacher] Eight.
[student] Oh, I get it.","I didn’t get it, but after that first time, I caught it.","[teacher] Okay, so this number, thirty-two eights is this mixed fraction. Okay.  This would be the representation of it, okay.  So you are doing wholes, which it could be eights, it could be tens, it could be sixes.  Just depends on how many pieces you have done with it.  Now, I have shown you how to do a representation.  Look what happens ‘cause you can divide it to figure out the mixed fraction.  How many times does eight go into thirty-two?  Student S?
[student] Four.
[teacher] Sorry, I did this wrong.  Yeah, it does four, but I’m supposed to have 29 up here, sorry.  Okay, 8 into 12, because 29 is what we had total.  So 8 goes into, I started off with our whole, but I meant to bring it down.  How many times does 8 go into 29?  Student T?
[student] Three times.",0,1,0
"[teacher] As long as the number at the top is accurate.  Student C, scoot, you need to go on the [inaudible] tomorrow, okay.
[student] He didn't put a question mark [Inaudible].
[teacher] He didn't put a question mark what?
[student] [Inaudible]",One of them looked like a 29.,"[teacher] How many problems did you do that way?
[student] He did it with 4, but one was wrong.
[student] One was exactly wrong, I knew that.
[student] One of them looked like 29.",0,0,0
"[student] Four.
[teacher] I have four quarts, but I’m looking for how many cups I have when I have that.  I have 16.  Now I’m going to turn this around a little bit and I’m going to say I have 64 cups and I would like you to tell me how many quarts that equals. Four quarts equals 16 cups.  I think if I was having a little trouble with this one, what I would think is one quart has how many cups?  Let’s go back to the very basic one we started with. One quart has how many cups?
[student] Four.
[teacher] So one quart has four cups, but four quarts has 16 cups, so how many quarts do I need to have 64 cups?  What did I do from here to here?  What did I do?  When I went from one quart to equals four cups, then I said four quarts equals 16 cups? I thought how are four and 16 related.","Four times four equals 16.  So four is in there somewhere, right?  Now I have 64 cups.  How can I figure out how many quarts that is?  Student H bring your chart up here. Student J bring your chart up here.  We’re gonna come up with 64 cups and we’ll do that by joining the charts again. How many cups does Student J have on her chart?  She has how many? She has 16.  Student H also has one gallon and how many cups on his chart, Student D?","[student] Sixteen.
[teacher] Sixteen plus 16 makes how many right now, Student T?
[student] Thirty-two.
[teacher] So we have 32 cups.  Let’s bring another person up here again and – Student A come up here, bring your chart with you and let’s see how many we have when Student A joins the group and we’ll see what we have to do to make this work. Student A also has a gallon on her chart.  How many cups does she have on her chart?",1,1,1
"[student] Seventy-three and sixty-seven hundredths.
[teacher] Very good.  All right, do you want to do these next two, D and E or do you want to go ahead and go on your own?
[multiple students] Next two.
[teacher] Do the next two?  Okay, let's do them together.  D, Student M, read it as a sentence.",Fifty-six and eight hundredths minus thirty-four and ninety- nine hundredths.,"[teacher] Very good.  So can we take eight hundredths minus nine hundredths?
[multiple students] No.
[teacher] So eight hundred – I'm sorry.  We're going to borrow from – oh no, look.  We don't have anything in the tenths place.
[teacher] Okay, so we have to go to the ones.  We're gonna borrow from the ones.  This becomes a five and this becomes a 10.  Now we can borrow from 10 tenths.  So this becomes nine and eight becomes?",0,0,0
"[teacher] Are we counting spaces, or lines?
[student] Lines.
[multiple students] Spaces.
[teacher] Spaces.","It is, because everything – all the spaces have to be like -","[student] To make one inch, it has to be sixteen spaces, so sixteen, sixteen, sixteen, sixteen.
[teacher] Yep.  So this – you got 19?
[student] And this one is three.
[teacher] Use your pencil tip.",0,0,0
"[teacher] And how far is it, the whole distance?
[student] Four fifths a mile.
[teacher] Four fifths a mile.  And she's already walked half.  And you're trying to find how much further she has to go.  So you say that four fifths is your total and that she's already done half, right?  So you jot down your LCM is ten.  So you know it is tenths.  So your answer is three tenths of a mile. So let me see your picture.  So you need to label your picture.  So you're still working on it.
[student] Student J here.  Student I here.  And then four fifths in the middle and put a line here.","No, we put right here or right in the middle.","[teacher] Looks like you're working hard.  Let me see what you got.
[student] Can we use this [inaudible] please?
[teacher] Who do they belong to?  Thank you.  So Student J worked on a jigsaw puzzle for one fourth an hour before dinner.  And he worked on the puzzle for another five eighths of an hour after dinner.  How much time did Student L spend on the puzzle in all?  So you're saying that – what are your key words to know that it's addition?
[student] Because he's saying how much more?",0,1,0
"[student] Yeah.  [Inaudible] stuff.  Okay.  This is – that girls, first of all.  This is her geometry project, and everything.  The Table of contents.  Why do you have two X’s, [inaudible]?
[student] [Inaudible].
[student] X.  X.
[teacher] [Inaudible].","Oh, twenty.  Her point.  Page uno.  The line segment – why did you scribble on it?","[student] [Inaudible].
[student] The line with two points in it.  The ray with two points in it.
[student] [Inaudible].
[student] She had two.  [Laughter].",0,0,1
"[student] I don’t like talking about this, it isn’t funny.
[teacher] Alright Student J so what do we have for Maryland how many slaves were in Maryland look at the table.
[student] Teacher there is no 500.
[teacher] I changed it so hopefully Student M you can tell her what I did so that she knows what’s biggest. How many are in Maryland.",Teacher said if it was—you supposed to put a zero to all the numbers.,"[teacher] Alright come over here so I can see what you do. 400, first let me finish doing what you hadn’t even started doing. You saw everybody write a name so you don’t even have to ask me what we had to do cause you did know that part. Finish writing the states down at the bottom like everybody in here has already done. I know you can do that, and write the title number of slaves in 1864.
[student] I don’t know what you all was talking about.
[teacher] And put the date on there. You fill in the date already he sure is. They told you it gonna be done every time. Let me see your first one South Carolina had 500 and you are correct good. So you check with—afterward I’m gonna show you with a coloring yes. Cause I want it to be colorful. But I wanna make sure it’s write first so I don’t blame you doing it in pencil first. So which one are you doing first? You?
[student] I’m done, I’m done.",1,1,0
"[student] Because four cannot fit into three.
[teacher] Okay.  Okay, that’s – what else?  What else can you tell me? Why is this one – you need to pay attention.  Why is this one bigger than this one?
[student] Oh.
[student] Because -",Because it’s an improper fraction.  [Crosstalk].,"[teacher] You keep saying that.  Why?  I know it’s an improper fraction, but why?  What does that mean to you?  You keep saying it’s an improper fraction.  We know that.  What does that mean to you?  What does it mean to you?  [Inaudible].  Listen to her, because she got it correct the first time.
[student] Because these – it’s saying that these -
[teacher] Okay, very good.  You see what she’s saying?  That this one is three-fourth.  Go on.
[student] But these – how many times three goes into four is one time, so is one-third.  This is [inaudible].",0,0,0
"[student] Sixteen.
[teacher] All right, so you two show each other, because you got sixteen, and you got seventeen.  You got fifteen?  You got fifteen? All right, show me how you got fifteen?
[student] I counted the [inaudible] and the [inaudible], but [inaudible].
[teacher] Okay, so this line right here?  That should be black.  Okay, that’s going to be your zero.  And then start here.  One. Two.  Three.  Four.  Five.  Six.  Seven.  Maybe not.  Let’s see.  All right, let’s see.  Hopefully that’s the – let’s use this one, because this one is [inaudible].  There’s [inaudible], so you want to count here, right?  You were counting spaces? One.  Two.  Three.  Four.  Five.  Six.  Seven.  Eight. Nine.  Ten.  Eleven.  Twelve.  Thirteen.  Fourteen. Fifteen.  Sixteen.  So I think you’re [inaudible], because the ruler lost it’s black, and we can’t figure out if it’s this zero or that zero, so this is a better ruler to use, okay?  What did you guys get?  You still –","I think he said he thinks he’s missing a line, but I -","[teacher] That’ happened with her ruler, too.  Let’s see your ruler.  Oh, right.  This is a better ruler to use.  Figure it out from this ruler.
[student] [Inaudible] seventeen.
[teacher] You got seventeen?  All right, let’s see.  What are you counting?
[student] From zero to one.",0,1,0
"[student] These don’t erase.  This table won’t erase.
[teacher] We’ll clear it after.  Don’t worry about it.
[teacher] All right, thank you.  Ready for the next one.  I know your dry erase boards aren’t – I mean tables aren’t clearing too well.  Student M, turn around.  All right, here is about Farmer Brown, has 45 cows.  Farmer Green sells him 68 cows. Farmer Brown gives three cows to his neighbor – got some multi-steps going, and then divides the remaining cows equally among his barns.  How many cars – how many cows does he add to each of his barns?  Please ask questions but don’t tell us the answer.  I want to see it on the tables. Student H?
[student] It can’t be – well, never mind.  [Inaudible].","It can’t be A or C because it says Farmer Green sells 68 cows, so you have to add 68 to 45.","[teacher] Well, you think about it, but do it on the table first.  Then we’ll discuss it a little more.
[student] Okay, I got it.
[teacher] But I don’t see your answer.
[student] Oh.",1,0,0
"[student] No.
[teacher] What questions can you ask come over here we’re gonna write them on the back. So now you’re the teacher.
[student] What?!
[teacher] You’re gonna [inaudible] this class on this graph what question might you ask?",How many more slaves did Alabama have then Tennessee?,"[teacher] How many more slaves, good I like that so what’s your first question teacher that you’re gonna ask about your graph? Write down your name, you’re not talking to him now. So you’re asking about the graph and you wanna test the class. What question might you ask off of your graph and do the answer too of course. I guess It’ll be three questions to go with your graph. I’ll get my updated chart with words so I can help assist with those words in your problem.
[student] We already have—teacher we already got that.
[teacher] Yes you do.
[student] Now what?",0,0,0
"[student] wrong. [0:55:00]
[teacher] [Inaudible] up by 20 points.  But can you explain this though? Can that be explained?  Is there an announcer or?
[student] [Inaudible]
[teacher] Okay, so are you the person asking the questions?  You are, right?  So you might also want to say, unless the question goes to Student G, you might want to say, “No, you use area because when we measure area we’re measuring the surface of something, the inside of something.”  You know what I mean? Because the point of this is to be clear in our subject.",“You need to find out the amount.  You need to find out the surface.”,"[teacher] Yeah, because you’re finding – what was this one for – because you’re finding the area of a surface, something like that in your words is fine.  But I like how it’s going.  All right, are you making it consistent?
[multiple students] Yes.
[teacher] Are you ready to join them?
[student] Yes.",0,0,0
"[student] One-eighteenth.
[teacher] One-eighteenth?  All right.
[student] I mean one-eighth.
[teacher] One-eighth?  Show me how you got one-eighth.","Because I did one, two, three, four, five, six, seven, eight. And then E is [inaudible].","[teacher] Awesome.  Awesome.  What did you get?
[student] Six-sevenths.
[teacher] Awesome.  What did you get?
[student] [Inaudible].",0,0,0
"[student] I got it.  Nineteen.
[student] No, no, no.  It’s not 19.  It’s eight.  It could be -
[student] Yeah, yeah it is eight.
[student] Nineteen.","Nineteen, because [inaudible] that has a big [inaudible] equal to a half, to so eight and eight [inaudible] seventeen, plus eight -","[teacher] Student J, where is eight on here?
[student] Eleven.
[student] Right there.
[student] It’s eleven.",0,1,0
"[student] Bob the Builder is building a city.  Three twenty-fifths of the buildings are –
[student] Admit it, you like Bob the Builder.
[student] – are unfinished.  How many buildings did he already finish?  I don't really see anything like – anything that's un-built from that picture.  And they want [inaudible] to be what the picture looks like.
[teacher] I like where you're going 'cause I like the idea of the picture 'cause that's why I said you would actually build a story, right.  I mean you're actually building a story.  You have a character in your story and a setting, things like that. So it's going like that.  Maybe that's why you're talking Bob the Builder.  You're talking about someone who's a builder or John the Builder or whatever you wanna call him. What you can say is that because – what are you comparing? Like when you observe your data, are you looking at the height of the buildings, where they're located, like what are you comparing?",I'm doing the height of the [inaudible].  But there was only one super big one.,"[teacher] But there's still lots that are taller than other ones, right? Like if you look like this one's tall, this one's tall, this one's tall, this one's tall.  That one's short.  That one's short.  That one's short.  And you can even do short, medium, and tall, right?
[student] These are short.  These are short, short.
[teacher] Now listen to what I'm saying.  This picture is supposed to inspire you to write your word problem.  Now if you're numbers are not exact to this picture, that's okay.  What you can say is you could that there are 40 buildings.  Say three of them are very tall.  And another number medium size and another number.  As long as it all adds to the total what you say your total is, if the facts are in your problem, then they are the facts.  The facts do not have to necessarily be the exact same as your picture.  You see what I'm saying?  Just make sure your facts are straight in your story.  Now what you're saying is incomplete versus complete.  You could say that he has been contracted by the city to build a building.  And it has to be a certain height or he has to make a certain number that are part of the super tall category.  How many will he need to build to complete a certain fraction?  You see where we're going with that?  And you've gotta take it further, that's your job.  Take it further.  Does that help you?
[student] Yeah.",0,0,0
"[student] Let’s make that say.
[teacher] Don’t go nowhere mm-mmm. She gonna come in in five minutes. Make sure you [inaudible] let me do this math lesson.
[student] [Inaudible].
[teacher] I told you erase the part that says do not judge—he said, he said, he said.",I even found his feet [inaudible].,"[student] There’s no play might as well go to sleep. Wake me up.
[teacher] He said [inaudible] their charter. He said we’re not doing it by their skin color but something else. And it’s somebody dream partner, it’s somebody’s dream you almost there keep practicing.
[teacher] What we do? Put your name on it right there. Then what?
[student] [Inaudible].",0,0,0
"[student] We’re doing the balloon show.
[teacher] On?
[student] Perimeter and area.
[teacher] That’s right.","Since in the very first round we did like the questions that actually ask what perimeter and area and stuff were, now we’re doing, “Hello, let’s say you have a garden that you are going to cover with mulch, would you use perimeter or area to find out how much mulch you need?”  And things like that.","[teacher] I would use, I don't know, perimeter?
[student] wrong. [0:55:00]
[teacher] [Inaudible] up by 20 points.  But can you explain this though? Can that be explained?  Is there an announcer or?
[student] [Inaudible]",0,0,0
"[student] It’s 54 lines [inaudible].
[student] I did one.  Zero.
[teacher] This is your zero.  The edge of your ruler.
[student] There’s 54 spaces in all.",I was doing this.  I was adding them [inaudible].,"[student] Because four -
[student] Four -
[teacher] What are you – what ruler are you supposed to be looking at, right now?  That ruler.  Okay.  All right, let’s see.  Eyes this way.  Okay, so we have one space.
[multiple students] Two spaces.",0,1,0
"[student] “Oh, we’re back.”
[teacher] So I think for all of the remainder things that we do it should be something like that.  We should stick with this idea of the balloon man and he just has different problems.  Seven balloons for each party.  16 balloons go to each party, comma, we drop the four, the four balloons because –
[student] [Inaudible] in each party.
[teacher] Each party needs an equal number.  Okay.  So next you’re going to do the one where you round up for the number of tables, and then you can consider something else before you split the remainder.  But let’s not worry about that one yet. Okay, I’m going to number these, 1, 2. Okay, you’re going to need another piece of paper, and we’re not going to write “the end” any more.  We’re not near the end.",Why don’t we all just do something that has an ending like [inaudible].,"[teacher] That’s at the very end, Student G, we’re not there.  Student G doesn’t understand what I’m talking about because he wasn’t here yesterday.  I know, Student L, that you do, so just try to bear…
[student] Later that evening…
[teacher] Yeah, later that evening, dot, dot, dot, and that’s something that the narrator would say.  But you can write balloon man, narrator, whatever, that kind of thing, but let’s not do gestures and that kind of stuff yet.  This a good start though, nice job. How’s it going?
[student] Really good.",0,0,1
"[teacher] Use your pencil tip.
[student] And this one is three.
[student] One.  Two.  Three.  Four.
[student] And this one is -",Five.  Six.  Seven.  Eight.  Nine.  Ten.  Eleven.  Twelve. Thirteen.  Fourteen.  Fifteen.  Sixteen.,"[student] One.  Two.  Three.  Four.  And this one has -
[teacher] All right.  No worries.  So your ruler, the A ruler.  The yellow one.  How many parts is each whole inch divided into on ruler A?  Sixteen.
[student] Sixteen.
[teacher] So what we would have here is sixteenths.",0,0,0
"[student] [Inaudible].
[teacher] We know dividend.  We know quotient.  It must mean we're trying to figure out what?
[student] [Inaudible].
[teacher] Good, the divisor.  Okay, the groups.  We're trying to figure out the groups today.  How many groups?  Hm.  In other words, how many bags of cookies?  Good.  So do – am I going to draw four circles around the 72?  What do you guys think?  Student C, you're shaking your head, why?  Why not?",Because four circles that would be – that's too low because 72 is bigger than 4.,"[teacher] If I drew just four circles, am I trying to find out just the groups?  What am I trying – if I just draw – in other words, let's see if I can draw it on the board because a lot of you are doing the right thing.  So I just want to see if you guys understand.  So I'm going to erase that because I'm going to come back to that later.  But let's see, 72 you said is my dividend, right guys?  So do I do this, friends?  Is that right?
[multiple students] No.
[teacher] No.  Okay, who can explain why not?  What do you think? Somebody different?  Student I, what do you think?  I know maybe you can't see so you can always move yourself if you need to.  You can move yourself in between Student G and N. That's fine.  Okay.  Why not?  Why is that not good?  Why can't I draw it out like this?
[student] Because you won't have enough groups.",1,0,0
"[teacher] Three and seventy-five hundredths.  Very good.  Okay, look at C.  Ooh, this one's tricky.  Student M, read it for us.
[student] One hundred forty and nine tenths minus sixty-seven and twenty- three hundredths.
[teacher] What are we going to do here?  Three is taken from no number? What do we need to do?
[student] Borrow.","Wait, not borrow.  Put the –","[student] Just scoot all the numbers back?
[teacher] Why would scoot the numbers over?  Our decimals are lined up.
[student] Make it three.  The 9 becomes 8 and the 3 becomes 13 because you know that –
[student] Because it's still a zero.",0,0,0
"[multiple students] Two-sixteenths.  Three sixteenths.  Four-sixteenths. Five-sixteenths.  Six-sixteenths.  Seven-sixteenths.
[teacher] Point P is at?
[multiple students] Seven-sixteenths.
[teacher] Seven-sixteenths.  What would this one be?",Eight-sixteenths.  Nine-sixteenths.  Ten-sixteenths.  Eleven- sixteenths.  Twelve-sixteenths.  Thirteen-sixteenths. Fourteen-sixteenths.  Fifteen-sixteenths.  Sixteen- sixteenths.,"[teacher] Is sixteen-sixteenths a whole?
[student] Yeah.
[student] Yes.
[teacher] Is – what is eight-sixteenths?  What other fraction?",0,0,0
"[student] 12.
[teacher] Why 12?
[student] Because the whole circle is going to equal 12.
[teacher] Say that again.","The whole circle equals 12, 6 plus 6 is 12.","[teacher] I know you know what you're talking about, but can you explain it a little bit better?  Why is the answer 12?  What are you talking about?  Can you explain it?  What is the relationship between the diameter and the radius?
[student] The diameter is the whole circle and the radius is the outside of the circle.
[teacher] What do you mean by the whole circle?  When you say the diameter is the whole circle, what do you mean by that?
[student] I mean by – you said 6 is half of the circle, and if you put the other line—",0,0,0
"[student] What if you're done?
[teacher] What if you're done?  Then I would check my answers.  So when you guys are done, you want to move to page 26.  Okay? Because they’ve got huge numbers, 125.  So you don't want to build like that because that will just waste time.  What you want to do is you want to break them apart just like I did.  So I don't have any of those connected.  I just quickly put them into groups, okay?  Student T, you need cubes?  Okay.  Student T, can you come here please?  Come over here? I want you to try your best to take 125s and put them in here.  Just grab a whole bunch, okay?  Grab a whole bunch.  You can move on to page 26 when you're done.  We're going to do the big numbers, 125.  Try not to connect the cubes, please, because that just wastes time.  Okay all set.  That's about 125 right there.  All set.  That's about 125 right there. Plenty.  All right, Student I, let's see how you're doing.
[student] It's hard.  I took these apart.
[teacher] That's okay.  We don't want to waste time so you don't have to break them apart.  It's fine.  Don't worry about it.  So remember to draw out, please, as well.  Draw out.  How do we draw out?  We want to write our TIPS.",I don't know.  I just knew the answer somehow because I remember in our old school we used to do –,"[teacher] It's not correct, but that's okay.  I want you to write TIPS and draw, okay?
[student] I don't get TIPS.
[teacher] Student T, we're wasting time.  Sit down and do your work, please.  Okay, let's go.  What do you need to circle after you get done with the TIPS?  Good.  What else?  Good. Good.  That's a lot of procedural stuff, right?  Procedure, routines.  Okay, what do we do next?  Yep.  Yep.
[student] [Inaudible].",0,0,0
"[student] They are adding three and adding that plus four and then they are adding that, well times that by two and then adding one.
[teacher] Okay, anything else that anybody notices?  Student L?
[student] 1 is odd, 4 is even.  9 is odd, 16’s even.
[teacher] True, still not what I’m looking for.  Student M?","Well, if you have one and then times it to three and then times it to three and then add one, you get four and then you skip one for times six.  And then you go to nine, which, never mind.","[teacher] Okay.  Student M and then I am going to give you a clue, another clue if you need it.
[student] They are all composite.
[teacher] Are they?  1 is what?
[student] Prime.",1,0,0
"[student] I think I did it wrong.
[teacher] Student M, why don’t you come over here.
[student] I think I did it wrong.
[teacher] Why do you say that?","Because when I was counting, I think I [inaudible] to count, I added – when I counted it came up as six, but I think I messed up.","[teacher] You’re trying to figure out the area?  You’ve already done the area, haven’t you?
[student] I’m trying to figure out what – no I haven’t done the area, yet.  I did the outsides.  That.  And then the outside -
[teacher] You already did B.  B was area.
[student] How do I find out the answer for -",0,0,0
"[student] [Inaudible].
[teacher] Got a little bit more narrow of a focus now?
[student] Mm-hmm.
[teacher] Good.  How we doing?",He added a little bit more.  There I used [inaudible].,"[student] You know this is this is supposed to three eighteenths.  I added to this.  That goes to one eighth.
[teacher] 'Cause you're doing an [astronaut and this is what it was in]. So there are 18 children wearing – eight children wearing blue hats and seven children wearing green.  There are 18 kids in all.  So what you need to think about is let's look at it as a fraction.  I'm gonna use kinda the back here to kinda show some of the work.  So 18 children in all, right. [Counting 1 to 18].  Right?  There's 18 in all.  So eighteen eighteenths is all the kids, right?
[student] Mm-hmm.
[teacher] Now you said eight of them are wearing –",0,1,0
"[student] [Inaudible]
[teacher] It is.  It is.  It’s odd and it’s composite.  Okay, I wanted to explore those patterns with you, because we were looking for an algebraic pattern, and you know, we were going crazy.  It was not stopping and repeating again.  We had A’s, we had B’s.  We had C’s and now we have  D.  And there was no predictable pattern, but if you look back now, it’s becoming apparent that it’s the color and the shape and how you are classifying the number. All right, now math, are you ready to go?  We are just going to check 19 through 24.  We needed to check that last Thursday and we got busy.  And Student M, since you are talking, I’m going to give you the mic for just a few minutes.
[student] Awesome.
[teacher] All right.  And I need to clip it on you so it’s not dancing around.  There you go, just speak normally.","Number 19, what is the median for the set of data?  Student R.","[student] The median is 6.
[teacher] And Student M, have him explain what the term means also.  Like what does median mean.
[student] What does median mean?
[teacher] Median means the number that’s in the middle.",0,0,0
"[student] Check.
[teacher] Check.  Step 2 and 3 are only – may not be necessary.  Student E, and last by not least.
[student] If you build it, you will use the centimeter one [inaudible].
[teacher] You're gonna use the three quarter inch, the three quarter inch graph paper.  Student A?",Number 4 is you plug in the actual answer.,"[teacher] And then you're going to find the actual answer.  And once you have done that, you should say to yourself, hmmm, now that I know how to find the actual answer – eyes and ears up here.  How is that gonna help me with my prediction for number 2?  So this is very similar to or the same as what we were doing yesterday.  Student M?
[student] If you do one of them first and then you know the actual answer when you do a check, you can use that check for the second one.  Like a prediction, you could use that.
[teacher] Absolutely.  Absolutely.  So on page 8 is where it may look slightly different.  So I'd like you to go to numbers 3, 4, and 5.  What do you notice about 3, 4, and 5?
[student] They don't have –",0,0,0
"[student] When slaves escape daddy says they run north. But they that’s
[teacher] But why else? Why else would you thinks the south would have more slaves?
[student] Because when they had the war the north won but the south wanted to win because they didn’t wanna stop slavery and they had the most slaves.
[teacher] What’d you say? Thank you.","I said was, when they had the civil war the north won but the south didn’t because they wanted to get more slavery then.","[teacher] The south wanted to keep slaves so yes. The north didn’t want slavery so obviously it makes sense that the south had more slaves so the states that are south will have a higher number correct?
[multiple students] Yeah.
[teacher] You wanna cut off that finger I can do it for you if you wanna lose it I mean really that’s all your trying to do.
[student] He’s trying to lose a finger.",0,0,0
"[student] Can I use the bathroom?
[teacher] Student J, you may use the restroom now.  Any other questions? Go ahead and get started, please.  So if you wanna work with Student A, Student A actually was doing really well yesterday, but if you wanna work with Student A 'cause he did struggle at first.  But then he seemed to blossom after I met with him.  But if you need to move him around 'cause you find that Student A is also struggling, go ahead and do that.  Do I wanna [inaudible]?  Student A and Student M and Student J when you return you have to come right back down to the rug, so quickly please.  Quickly.  Thank you. Student M, I'm gonna meet with you on the rug.  Student E, on the rug please.  You can bring your work and a clipboard.  Our back table still has your items.  So why don't we meet on the rug?  Student M, grab a clipboard, bring your things down.  Student A, grab a clipboard, bring your things down.
[student] [Inaudible].
[teacher] You wanna start with this work, though.  Right?  So are you finding the base?",I just counted.  I just counted this and then this was 4.  And then I called this just 4.  4 times 4.  And then [inaudible].,"[teacher] And is that going to give you?
[student] It's gonna give me the volume.
[teacher] Remember yesterday we discussed do you need to count each individual cube?  When you look at an array, for example –
[student] When you look at the array, if this is 5 and then this is 3, 5 times 3 equals 15.  [Inaudible].",0,0,0
"[student] Use –
[teacher] Estimation.
[student] – estimation to decide which school has about 100 fewer students than Apalene School.  Show or explain your –
[teacher] Estimation.",– estimation strategy.  All the students at the school were going to form two teams for the reading contest.  There will be two schools on each team.  The teams will each have about the same number of students.  Use estimation to divide –,"[teacher] Decide.
[student] Decide which two schools should be on each team.  Show or explain your estimation strategy.
[teacher] Good.  So estimation is when you take a guess as close as you can, a smart guess.  So first thing's first.  If we have letters in our open response question, what do we need to have on our answer sheet?
[student] The letters.",0,0,0
